code_postal;nb_annonces;loyer_moyen;loyer_m2_moyen
31520.0;50;785.18;16.46
31550.0;2;725.0;8.87
31600.0;63;723.43;11.97
31650.0;21;887.57;14.35
31700.0;66;812.65;13.49
31770.0;47;819.0;13.86
31780.0;17;940.47;12.47
31790.0;4;723.25;11.56
31800.0;42;523.81;9.85
31830.0;21;915.67;13.1
31840.0;2;740.0;13.05
32000.0;84;542.79;13.89
32130.0;3;420.0;13.17
32600.0;7;729.14;11.87
33000.0;582;928.66;24.8
33100.0;37;747.76;28.9
33110.0;40;1148.12;22.53
33113.0;1;1350.0;7.5
33115.0;2;4300.5;54.29
33120.0;15;1277.93;22.29
33130.0;42;947.74;21.14
33138.0;1;997.0;23.19
33140.0;49;714.9;23.79
33150.0;53;669.08;16.53
33160.0;21;1328.9;14.93
33170.0;44;802.8;25.7
33185.0;1;1296.0;19.64
33190.0;4;611.0;10.14
33200.0;29;1189.93;23.01
33210.0;5;831.6;12.0
33230.0;11;628.73;13.52
33240.0;33;767.73;14.1
33260.0;17;1196.35;16.58
33270.0;25;925.36;14.81
33290.0;5;1490.8;10.64
33300.0;72;896.6;27.43
33310.0;147;713.78;16.73
33320.0;13;1047.54;18.2
33380.0;4;1127.0;15.04
33390.0;30;665.2;12.35
33400.0;294;765.15;24.91
33440.0;9;788.67;14.87
33470.0;19;1033.16;16.87
33500.0;74;773.96;14.35
33510.0;5;1201.0;15.58
33520.0;21;923.24;17.58
33550.0;2;605.0;15.31
33600.0;219;693.16;27.43
33700.0;143;863.82;22.55
33750.0;1;1002.0;11.79
33800.0;132;862.03;24.45
33810.0;2;718.5;10.8
33980.0;2;756.5;12.94
34000.0;385;784.18;22.46
34024.0;1;594.0;33.0
34070.0;119;713.04;21.15
34080.0;73;659.73;21.99
34090.0;129;608.16;22.12
34110.0;28;875.46;15.6
34120.0;45;552.96;12.23
34130.0;37;908.54;18.77
34140.0;10;903.0;14.47
34150.0;7;814.57;12.22
34170.0;59;795.61;18.91
34200.0;40;762.42;17.69
34250.0;21;721.48;18.86
34280.0;25;627.16;24.85
34300.0;58;705.48;16.33
34320.0;2;600.0;14.1
34340.0;1;1076.0;11.7
34400.0;33;786.88;15.8
34410.0;21;875.71;13.78
34420.0;1;595.0;11.23
34430.0;26;827.04;14.58
34470.0;9;833.11;20.83
34500.0;468;604.38;13.07
34600.0;18;426.28;10.94
34700.0;5;428.8;13.07
34790.0;16;787.44;17.9
34800.0;10;606.8;14.54
34970.0;51;956.25;18.83
34990.0;19;779.42;20.11
35000.0;652;758.8;23.23
35135.0;5;989.4;12.74
35136.0;13;799.38;15.05
35170.0;22;596.18;20.96
35200.0;65;625.75;18.42
35230.0;3;815.0;13.75
35235.0;3;1224.67;11.39
35300.0;45;610.6;12.9
35400.0;42;805.62;17.35
35470.0;8;597.12;11.8
35500.0;35;736.71;11.45
35510.0;31;836.1;14.75
35600.0;5;705.4;8.69
35700.0;39;783.97;24.18
35740.0;4;1707.75;12.79
35800.0;7;970.71;17.32
35830.0;2;1102.5;10.43
36000.0;100;592.81;12.33
37000.0;636;628.89;20.25
37100.0;79;601.23;16.01
37120.0;9;454.44;8.6
37170.0;30;452.93;21.69
37190.0;2;419.0;17.18
37200.0;40;627.85;17.43
37230.0;1;1550.0;7.83
37250.0;4;657.75;15.07
37260.0;1;915.0;9.53
37300.0;80;616.21;17.42
37400.0;16;687.88;15.1
37510.0;1;315.0;2.05
37520.0;34;652.56;17.24
37540.0;28;778.32;15.56
37550.0;4;1122.75;11.4
37700.0;20;755.2;13.8
38000.0;690;708.87;18.77
38080.0;4;971.75;12.72
38100.0;196;671.02;18.14
38110.0;6;673.0;13.57
38120.0;23;913.48;14.87
38130.0;48;771.21;13.86
38140.0;1;762.0;14.38
38150.0;8;670.62;11.11
38160.0;19;732.79;11.57
38170.0;10;824.6;14.9
38180.0;4;1244.5;15.46
38200.0;61;749.43;13.72
38220.0;4;571.25;13.09
38240.0;48;1024.96;15.93
38300.0;70;846.79;14.8
38320.0;1;993.0;14.82
38360.0;3;613.33;22.59
38400.0;201;659.0;18.06
38420.0;7;847.86;12.98
38430.0;1;848.0;14.62
38460.0;1;1050.0;11.41
38500.0;49;737.04;12.24
38530.0;6;732.67;15.46
38600.0;37;595.95;17.24
38610.0;19;555.89;21.04
38700.0;4;535.75;30.25
38890.0;1;545.0;14.34
38950.0;6;843.33;12.05
39000.0;54;654.67;12.05
39100.0;50;672.18;11.76
39200.0;7;486.29;10.58
39300.0;10;751.4;12.79
40000.0;60;617.75;12.81
40100.0;83;677.48;17.1
40130.0;3;966.67;14.79
40140.0;4;956.25;16.17
40150.0;3;1710.67;19.5
40220.0;4;1186.0;14.96
40230.0;5;973.6;15.5
40270.0;1;790.0;5.49
40280.0;4;692.75;11.29
40510.0;1;777.0;18.07
40600.0;16;775.25;14.33
40800.0;11;479.27;14.15
40990.0;26;740.46;14.44
41000.0;195;596.15;15.09
41100.0;26;637.08;12.01
41200.0;16;551.12;10.82
41260.0;1;500.0;13.51
41400.0;1;446.0;10.88
42000.0;726;545.55;12.89
42100.0;149;535.13;14.75
42110.0;20;589.85;9.67
42120.0;24;513.71;10.77
42153.0;10;581.7;10.97
42170.0;24;638.88;10.03
42210.0;6;687.5;10.72
42270.0;11;614.36;13.11
42290.0;1;1150.0;8.33
42300.0;282;506.02;11.94
42400.0;47;594.66;10.98
42470.0;1;680.0;9.86
42510.0;1;780.0;5.78
42600.0;48;608.12;11.49
42700.0;23;528.13;8.43
42800.0;8;543.88;8.85
43000.0;48;566.08;11.36
43150.0;1;730.0;7.16
44000.0;711;804.03;21.39
44100.0;88;705.2;21.96
44110.0;47;590.28;12.05
44117.0;1;1550.0;12.3
44120.0;14;840.93;20.24
44140.0;1;1450.0;8.79
44150.0;1;650.0;15.48
44160.0;2;790.0;14.01
44190.0;4;975.0;12.26
44200.0;48;835.9;22.82
44210.0;4;810.0;19.91
44220.0;4;838.0;12.76
44230.0;44;728.52;17.37
44240.0;3;1348.33;13.07
44250.0;7;1008.86;15.5
44300.0;146;705.77;23.73
44320.0;1;790.0;15.8
44340.0;2;586.0;18.71
44350.0;4;1250.25;13.74
